Serial Number;List Year;Date Recorded;Town;Address;Assessed Value;Property Type;Residential Type;area_m2;meses_en_venta;nro_habitaciones;nro_pisos;Sale Amount
21;2021;10/05/2021;Portland;323 JONES HOLLOW RD;279000;Residential;Single Family;155m2;9;5;2;279000
82;2008;10/01/2008;Windham;17 SUNRISE HILL;443200;Single Family;Single Family;277m2;1;7;3;443200
83;2008;10/01/2008;Windham;33 HIDDEN PINES CIRCLE;454400;Single Family;Single Family;284m2;4;7;3;454400
84;2008;10/01/2008;Windham;24 PILGRIM LANE;262800;Single Family;Single Family;146m2;7;4;2;262800
85;2008;10/01/2008;Windham;46 ORCHID RD;341700;Single Family;Single Family;201m2;8;6;3;341700
86;2008;10/01/2008;Windham;42 GRISWOLD ST;406300;Single Family;Single Family;239m2;8;6;3;406300
87;2008;10/02/2008;Windham;91 LYDALE PL;278800;Single Family;Single Family;164m2;3;5;2;278800
88;2008;10/03/2008;Windham;123 GLEN HILLS RD;316200;Single Family;Single Family;186m2;9;5;2;316200
89;2008;10/03/2008;Windham;47 EDGEWOOD PL;295800;Single Family;Single Family;174m2;2;5;2;295800
112;2011;10/03/2011;Portland;25 ALAN DR;346800;Single Family;Single Family;204m2;4;6;3;346800
113;2011;10/03/2011;Portland;40 CLONY ST;467200;Two Family;Two Family;292m2;2;7;3;467200
114;2011;10/05/2011;Portland;80 BEAVER ST;592500;Three Family;Three Family;395m2;2;7;4;592500
115;2011;10/06/2011;Portland;44 VINE ST;591000;Two Family;Two Family;394m2;9;7;4;591000
116;2011;10/12/2011;Portland;22-24 FOREST AVE;462400;Two Family;Two Family;289m2;5;7;3;462400
117;2011;10/13/2011;Portland;7 HIGHLAND AVE;338300;Single Family;Single Family;199m2;9;5;2;338300
118;2011;10/17/2011;Portland;162 PULASKI HWY;328100;Single Family;Single Family;193m2;3;5;2;328100
119;2011;10/17/2011;Portland;45 N WESTWOOD RD;232200;Single Family;Single Family;129m2;4;4;2;232200
161;2016;10/17/2016;Bozrah;25 EVERGREEN PSWY;385900;Single Family;Single Family;227m2;5;6;3;385900
162;2016;10/17/2016;Bozrah;54 BURGESS RD;401200;Single Family;Single Family;236m2;6;6;3;401200
163;2016;10/20/2016;Bozrah;304 WATERTOWN RD;401200;Single Family;Single Family;236m2;2;6;3;401200
164;2016;10/25/2016;Bozrah;196 THOMASTON RD;464000;Single Family;Single Family;290m2;2;7;3;464000
165;2016;10/31/2016;Bozrah;210 WEST ST;280800;Single Family;Single Family;156m2;3;5;2;280800
167;2016;11/01/2016;Bozrah;11 MARSH POINT;387200;Single Family;Single Family;242m2;5;6;3;387200
168;2016;11/02/2016;Bozrah;44 BANTAM LAKE HEIGHTS;292400;Single Family;Single Family;172m2;3;5;2;292400
